Date,Open,High,Low,Close,Adj Close,Volume
2008-10-07,657.520020,658.830017,633.460022,638.469971,638.469971,515163200
2008-10-08,611.630005,640.820007,586.140015,599.219971,599.219971,713611500
2008-10-09,606.349976,616.890015,579.630005,587.070007,587.070007,511102200
2008-10-10,543.409973,560.039978,525.809998,543.359985,543.359985,857650200
2008-10-13,570.549988,602.440002,570.320007,602.440002,602.440002,571269900
2008-10-14,629.700012,639.210022,604.780029,614.960022,614.960022,810227000
2008-10-15,609.679993,610.229980,569.030029,574.049988,574.049988,556197500
2008-10-16,538.840027,569.419983,533.440002,543.020020,543.020020,664753300
2008-10-17,567.049988,569.950012,540.090027,561.299988,561.299988,640723500
2008-10-20,572.840027,585.809998,567.419983,585.809998,585.809998,477901400
2008-10-21,599.119995,599.330017,582.010010,587.229980,587.229980,384441500
2008-10-22,571.799988,578.919983,556.099976,557.299988,557.299988,404611000
2008-10-23,557.929993,564.239990,539.380005,559.770020,559.770020,438060400
2008-10-24,530.489990,539.659973,505.640015,539.659973,539.659973,636521900
2008-10-27,508.769989,527.960022,504.940002,518.289978,518.289978,434780900
2008-10-28,531.919983,536.580017,509.119995,526.719971,526.719971,493632800
2008-10-29,556.900024,573.299988,552.309998,573.270020,573.270020,557717700
2008-10-30,581.719971,586.349976,562.289978,574.059998,574.059998,509281800
2008-10-31,568.570007,589.090027,561.239990,589.090027,589.090027,427063700
2008-11-03,593.929993,598.820007,586.960022,598.820007,598.820007,317859300
2008-11-04,598.140015,627.159973,597.919983,627.159973,627.159973,448882100
2008-11-05,621.820007,621.820007,607.239990,613.030029,613.030029,385987300
2008-11-06,594.359985,605.690002,575.520020,576.609985,576.609985,422267300
2008-11-07,583.609985,594.390015,570.489990,588.359985,588.359985,318980500
2008-11-10,603.890015,610.919983,591.289978,593.609985,593.609985,263299400
2008-11-11,584.070007,587.099976,568.090027,569.460022,569.460022,280250200
2008-11-12,579.460022,581.299988,549.380005,552.869995,552.869995,330151500
2008-11-13,548.820007,560.590027,543.619995,556.989990,556.989990,315312800
2008-11-14,572.770020,574.070007,556.919983,560.229980,560.229980,314315700
2008-11-17,558.200012,563.900024,542.289978,545.289978,545.289978,291959700
2008-11-18,548.309998,552.859985,532.440002,551.109985,551.109985,329706100
2008-11-19,550.440002,550.440002,529.109985,529.109985,529.109985,360939000
2008-11-20,516.250000,518.539978,498.279999,508.750000,508.750000,430157200
2008-11-21,511.299988,518.210022,486.529999,492.059998,492.059998,444628100
2008-11-24,502.850006,536.690002,500.799988,536.289978,536.289978,399154500
2008-11-25,529.750000,551.969971,526.400024,541.869995,541.869995,461581800
2008-11-26,536.289978,542.780029,522.799988,535.169983,535.169983,310872700
2008-11-27,542.289978,549.000000,541.140015,549.000000,549.000000,265832200
2008-11-28,548.260010,551.700012,538.469971,551.700012,551.700012,325277800
2008-12-01,548.700012,548.890015,520.539978,521.619995,521.619995,282349500
2008-12-02,514.979980,533.450012,510.149994,532.739990,532.739990,341838500
2008-12-03,531.280029,538.520020,518.109985,536.020020,536.020020,301465000
2008-12-04,533.909973,549.520020,526.330017,532.950012,532.950012,374063600
2008-12-05,527.460022,528.000000,501.619995,506.040009,506.040009,334828000
2008-12-08,537.599976,544.570007,531.489990,543.419983,543.419983,365091600
2008-12-09,536.830017,557.940002,536.200012,551.409973,551.409973,379252000
2008-12-10,551.989990,557.650024,547.409973,556.390015,556.390015,297919600
2008-12-11,555.909973,559.119995,547.760010,554.380005,554.380005,320018600
2008-12-12,532.440002,544.590027,525.630005,540.669983,540.669983,347349500
2008-12-15,547.190002,549.299988,535.460022,538.380005,538.380005,232189800
2008-12-16,538.599976,546.840027,536.809998,546.840027,546.840027,243881100
2008-12-17,551.799988,551.849976,537.179993,545.739990,545.739990,365276000
2008-12-18,547.450012,549.890015,541.599976,546.750000,546.750000,342855800
2008-12-19,540.510010,549.530029,533.840027,544.940002,544.940002,461533100
2008-12-22,540.739990,543.229980,534.210022,534.210022,534.210022,236376100
2008-12-23,534.890015,542.309998,532.789978,532.789978,532.789978,183263000
2008-12-24,530.429993,534.580017,526.789978,529.880005,529.880005,58617400
2008-12-29,533.750000,537.739990,528.359985,532.280029,532.280029,124517100
2008-12-30,536.510010,543.909973,534.940002,543.909973,543.909973,125183200
2008-12-31,546.119995,551.109985,544.669983,544.919983,544.919983,71115600
2009-01-02,546.909973,566.380005,546.530029,566.380005,566.380005,153143300
2009-01-05,571.380005,572.919983,563.260010,571.210022,571.210022,224922900
2009-01-06,573.369995,582.489990,567.640015,577.830017,577.830017,259539200
2009-01-07,575.119995,578.710022,566.520020,571.099976,571.099976,275434000
2009-01-08,564.280029,570.539978,559.159973,567.780029,567.780029,219864700
2009-01-09,569.330017,575.409973,561.070007,565.969971,565.969971,221318800
2009-01-12,564.140015,566.809998,555.989990,557.440002,557.440002,190163700
